09-07-2024 13:31:58.879,-,SERIAL,"COM12 - 9600/8/N/1/N"

09-07-2024 13:31:58.894,1337,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.019,1338,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.082,1339,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.207,1340,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.270,1341,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.395,1342,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.457,1343,RECV,20202020352E30306720
09-07-2024 13:31:59.520,1344,RECV,200D0A
09-07-2024 13:31:59.582,1345,RECV,20
09-07-2024 13:31:59.645,1346,RECV,202020352E30306720200D0A
09-07-2024 13:31:59.707,1347,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.770,1348,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.895,1349,RECV,20202020352E30306720200D0A
09-07-2024 13:31:59.957,1350,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.082,1351,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.144,1352,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.269,1353,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.332,1354,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.457,1355,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.519,1356,RECV,2020202035
09-07-2024 13:32:00.519,1357,RECV,2E
09-07-2024 13:32:00.582,1358,RECV,30306720200D0A
09-07-2024 13:32:00.644,1359,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.707,1360,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.832,1361,RECV,20202020352E30306720200D0A
09-07-2024 13:32:00.957,1362,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.020,1363,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.082,1364,RECV,2020
09-07-2024 13:32:01.145,1365,RECV,2020352E30306720200D0A
09-07-2024 13:32:01.207,1366,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.332,1367,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.395,1368,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.519,1369,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.582,1370,RECV,20202020
09-07-2024 13:32:01.644,1371,RECV,352E30306720200D0A
09-07-2024 13:32:01.707,1372,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.769,1373,RECV,20202020352E30306720200D0A
09-07-2024 13:32:01.894,1374,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.020,1375,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.082,1376,RECV,20202020352E30
09-07-2024 13:32:02.082,1377,RECV,30
09-07-2024 13:32:02.145,1378,RECV,6720200D0A20202020352E30306720200D0A
09-07-2024 13:32:02.270,1379,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.395,1380,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.520,1381,RECV,20202020352E30306720200D0A20
09-07-2024 13:32:02.520,1382,RECV,20
09-07-2024 13:32:02.582,1383,RECV,2020352E30306720200D0A
09-07-2024 13:32:02.645,1384,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.770,1385,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.895,1386,RECV,20202020352E30306720200D0A
09-07-2024 13:32:02.957,1387,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.082,1388,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.145,1390,RECV,30
09-07-2024 13:32:03.145,1389,RECV,20202020352E
09-07-2024 13:32:03.207,1391,RECV,306720200D0A
09-07-2024 13:32:03.270,1392,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.395,1393,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.457,1394,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.520,1395,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.645,1396,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.707,1397,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.832,1398,RECV,20202020352E30306720200D0A
09-07-2024 13:32:03.895,1399,RECV,20202020352E30
09-07-2024 13:32:03.957,1400,RECV,306720200D0A
09-07-2024 13:32:03.957,1401,RECV,20
09-07-2024 13:32:04.020,1402,RECV,202020352E30306720200D0A
09-07-2024 13:32:04.145,1403,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.207,1404,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.271,1405,RECV,20202020352E3030672020
09-07-2024 13:32:04.332,1406,RECV,0D0A
09-07-2024 13:32:04.395,1407,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.520,1408,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.582,1409,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.707,1410,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.770,1411,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.895,1412,RECV,20202020352E30306720200D0A
09-07-2024 13:32:04.957,1413,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.082,1414,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.200,1415,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.262,1416,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.387,1417,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.450,1418,RECV,2020202035
09-07-2024 13:32:05.512,1419,RECV,2E30306720200D0A20202020352E3030672020
09-07-2024 13:32:05.575,1420,RECV,0D0A
09-07-2024 13:32:05.637,1421,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.762,1422,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.887,1423,RECV,20202020352E30306720200D0A
09-07-2024 13:32:05.950,1424,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.075,1425,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.137,1426,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.262,1427,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.325,1428,RECV,20202020352E30306720200D
09-07-2024 13:32:06.387,1429,RECV,0A20202020352E30306720200D0A
09-07-2024 13:32:06.512,1430,RECV,20202020352E3030
09-07-2024 13:32:06.575,1431,RECV,6720200D0A20202020352E30306720200D0A
09-07-2024 13:32:06.700,1432,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.825,1433,RECV,20202020352E30306720200D0A
09-07-2024 13:32:06.950,1434,RECV,20202020352E30306720200D0A20
09-07-2024 13:32:06.950,1435,RECV,20
09-07-2024 13:32:07.012,1436,RECV,2020352E30306720200D0A
09-07-2024 13:32:07.075,1437,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.200,1438,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.324,1439,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.387,1440,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.449,1441,RECV,20202020
09-07-2024 13:32:07.512,1442,RECV,352E30306720200D0A
09-07-2024 13:32:07.574,1443,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.699,1444,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.762,1445,RECV,20202020352E30306720200D0A
09-07-2024 13:32:07.887,1446,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.012,1447,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.074,1448,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.137,1449,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.262,1450,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.387,1451,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.449,1452,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.574,1453,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.637,1454,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.699,1455,RECV,20202020352E30306720200D0A
09-07-2024 13:32:08.824,1456,RECV,2020202035
09-07-2024 13:32:08.887,1457,RECV,2E30306720200D0A
09-07-2024 13:32:08.949,1458,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.074,1459,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.137,1460,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.262,1461,RECV,20202020352E30306720200D0A2020
09-07-2024 13:32:09.262,1462,RECV,20
09-07-2024 13:32:09.324,1463,RECV,20352E30306720200D0A
09-07-2024 13:32:09.387,1464,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.512,1465,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.637,1466,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.699,1467,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.824,1468,RECV,20202020352E30306720200D0A
09-07-2024 13:32:09.887,1469,RECV,20202020352E30
09-07-2024 13:32:09.949,1470,RECV,306720200D0A20202020352E30306720200D
09-07-2024 13:32:10.012,1471,RECV,0A
09-07-2024 13:32:10.074,1472,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.199,1473,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.324,1474,RECV,20202020352E30306720200D0A20
09-07-2024 13:32:10.387,1475,RECV,202020352E30306720200D0A
09-07-2024 13:32:10.449,1476,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.574,1477,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.637,1478,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.762,1479,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.887,1480,RECV,20202020352E30306720200D0A
09-07-2024 13:32:10.949,1481,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.074,1482,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.137,1483,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.262,1484,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.387,1485,RECV,20202020352E30306720200D0A20202020
09-07-2024 13:32:11.449,1486,RECV,352E30306720200D0A
09-07-2024 13:32:11.512,1487,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.637,1488,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.762,1489,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.824,1490,RECV,20202020352E30306720200D0A
09-07-2024 13:32:11.949,1491,RECV,20202020352E30306720200D0A
09-07-2024 13:32:12.011,1492,RECV,20202020352E30306720200D0A
09-07-2024 13:32:12.074,1493,RECV,20202020352E30306720200D0A
09-07-2024 13:32:12.199,1494,RECV,20202020352E303067
09-07-2024 13:32:12.261,1496,RECV,20
09-07-2024 13:32:12.261,1495,RECV,20200D0A2020
09-07-2024 13:32:12.324,1497,RECV,20352E30306720200D0A
09-07-2024 13:32:12.449,1498,RECV,20202020352E30306720200D0A
09-07-2024 13:32:12.511,1499,RECV,20202020352E30306720200D0A
09-07-2024 13:32:12.574,1500,RECV,2020
09-07-2024 13:32:12.636,1501,RECV,2020352E30306720200D0A20202020352E30
09-07-2024 13:32:12.636,1502,RECV,30
09-07-2024 13:32:12.636,1503,RECV,67
