09-07-2024 12:36:46.868,-,SERIAL,"COM12 - 9600/8/N/1/N"

09-07-2024 12:36:19.992,5105,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.054,5106,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.180,5107,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.242,5108,RECV,20202020302E30306720
09-07-2024 12:36:20.309,5109,RECV,200D0A
09-07-2024 12:36:20.372,5110,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.434,5111,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.555,5112,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.618,5113,RECV,20
09-07-2024 12:36:20.680,5114,RECV,202020302E30306720200D0A
09-07-2024 12:36:20.743,5115,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.805,5116,RECV,20202020302E30306720200D0A
09-07-2024 12:36:20.930,5117,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.055,5118,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.118,5119,RECV,2020202030
09-07-2024 12:36:21.180,5120,RECV,2E30306720200D0A20202020302E30306720
09-07-2024 12:36:21.180,5121,RECV,20
09-07-2024 12:36:21.243,5122,RECV,0D0A
09-07-2024 12:36:21.309,5123,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.434,5124,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.556,5125,RECV,20202020302E30306720200D0A20
09-07-2024 12:36:21.619,5126,RECV,202020302E30306720200D0A
09-07-2024 12:36:21.681,5127,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.806,5128,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.931,5129,RECV,20202020302E30306720200D0A
09-07-2024 12:36:21.994,5130,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.056,5131,RECV,20202020302E
09-07-2024 12:36:22.056,5132,RECV,30
09-07-2024 12:36:22.119,5133,RECV,306720200D0A
09-07-2024 12:36:22.181,5134,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.309,5135,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.372,5136,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.492,5137,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.556,5138,RECV,20202020302E3030672020
09-07-2024 12:36:22.619,5139,RECV,0D0A
09-07-2024 12:36:22.681,5140,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.806,5141,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.869,5142,RECV,20202020302E30306720200D0A
09-07-2024 12:36:22.931,5143,RECV,2020
