09-07-2024 13:10:15.656,-,SERIAL,"COM12 - 9600/8/N/1/N"

09-07-2024 13:10:15.688,588,RECV,20202020352E30306720200D0A
09-07-2024 13:10:15.803,589,RECV,20202020352E30306720200D0A
09-07-2024 13:10:15.863,590,RECV,20202020352E30306720200D0A
09-07-2024 13:10:15.975,591,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.038,592,RECV,20202020352E30306720200D
09-07-2024 13:10:16.102,593,RECV,0A
09-07-2024 13:10:16.209,594,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.272,595,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.374,596,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.503,597,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.557,598,RECV,20202020352E30306720200D0A
09-07-2024 13:10:16.620,599,RECV,35
09-07-2024 13:10:16.620,600,RECV,20202020
09-07-2024 13:10:16.673,601,RECV,2E30306720200D0A
09-07-2024 13:10:16.738,602,RECV,20202020352E3030672020
09-07-2024 13:10:16.739,603,RECV,0D
09-07-2024 13:10:16.788,604,RECV,0A2020202035
09-07-2024 13:10:16.838,605,RECV,2E30306720200D0A
09-07-2024 13:10:16.955,606,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.006,607,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.136,608,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.238,609,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.355,610,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.422,611,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.537,612,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.589,613,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.710,614,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.822,615,RECV,20202020352E30306720200D0A
09-07-2024 13:10:17.939,616,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.007,617,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.066,618,RECV,20202020352E303067
09-07-2024 13:10:18.128,619,RECV,20200D0A
09-07-2024 13:10:18.244,620,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.305,621,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.422,622,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.473,623,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.589,624,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.639,625,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.755,626,RECV,20202020352E30306720200D0A
09-07-2024 13:10:18.874,627,RECV,20202020352E303067
09-07-2024 13:10:18.874,628,RECV,2020
09-07-2024 13:10:18.938,630,RECV,20
09-07-2024 13:10:18.938,629,RECV,0D0A202020
09-07-2024 13:10:18.989,631,RECV,352E30306720200D0A
09-07-2024 13:10:19.040,632,RECV,20202020352E30306720200D0A
09-07-2024 13:10:19.155,633,RECV,20202020352E30306720200D0A
09-07-2024 13:10:19.206,634,RECV,20202020352E30306720
09-07-2024 13:10:19.270,635,RECV,200D0A
09-07-2024 13:10:19.321,636,RECV,20202020352E30306720200D0A
09-07-2024 13:10:19.422,637,RECV,20202020352E
09-07-2024 13:10:19.473,638,RECV,30306720200D0A
09-07-2024 13:10:19.537,639,RECV,20202020352E3030672020
09-07-2024 13:10:19.589,640,RECV,0D0A20202020352E
09-07-2024 13:10:19.638,641,RECV,30306720200D0A
09-07-2024 13:10:19.739,642,RECV,20202020352E30306720200D0A
09-07-2024 13:10:19.806,643,RECV,202020
09-07-2024 13:10:19.806,644,RECV,20
09-07-2024 13:10:19.870,645,RECV,352E30306720200D0A
09-07-2024 13:10:19.920,646,RECV,20202020352E30
09-07-2024 13:10:19.920,647,RECV,3067
09-07-2024 13:10:19.971,648,RECV,20200D0A
09-07-2024 13:10:20.022,649,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.139,650,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.256,651,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.322,652,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.372,653,RECV,20202020
09-07-2024 13:10:20.437,654,RECV,352E30306720200D0A
09-07-2024 13:10:20.488,655,RECV,20202020352E3030
09-07-2024 13:10:20.539,656,RECV,6720200D0A
09-07-2024 13:10:20.639,657,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.703,658,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.822,659,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.875,660,RECV,20202020352E30306720200D0A
09-07-2024 13:10:20.990,661,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.105,662,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.155,663,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.282,664,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.403,665,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.468,666,RECV,20202020352E3030672020
09-07-2024 13:10:21.468,667,RECV,0D
09-07-2024 13:10:21.531,668,RECV,0A20202020352E30306720200D0A
09-07-2024 13:10:21.656,669,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.781,670,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.843,671,RECV,20202020352E30306720200D0A
09-07-2024 13:10:21.968,672,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.093,673,RECV,20202020352E30306720200D0A20
09-07-2024 13:10:22.093,674,RECV,20
09-07-2024 13:10:22.156,675,RECV,2020352E30306720200D0A
09-07-2024 13:10:22.218,676,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.343,677,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.468,678,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.530,679,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.655,680,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.718,681,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.843,682,RECV,20202020352E30306720200D0A
09-07-2024 13:10:22.905,683,RECV,20202020352E30306720200D0A
09-07-2024 13:10:23.030,684,RECV,20202020352E30306720200D0A
