09-13-2024 11:30:32.903,-,SERIAL,"COM14 - 9600/8/N/1/N"

09-13-2024 11:30:32.934,1020,RECV,20202020342E39396720200D0A
09-13-2024 11:30:32.997,1021,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.122,1022,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.184,1023,RECV,20202020342E393967
09-13-2024 11:30:33.184,1024,RECV,20
09-13-2024 11:30:33.247,1025,RECV,200D0A20202020342E39396720200D0A
09-13-2024 11:30:33.372,1026,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.497,1027,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.622,1028,RECV,20202020342E39396720200D0A2020
09-13-2024 11:30:33.622,1029,RECV,20
09-13-2024 11:30:33.684,1030,RECV,20342E39396720200D0A
09-13-2024 11:30:33.747,1031,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.872,1032,RECV,20202020342E39396720200D0A
09-13-2024 11:30:33.997,1033,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.059,1034,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.184,1035,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.247,1036,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.372,1037,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.434,1038,RECV,202020
09-13-2024 11:30:34.434,1039,RECV,20
09-13-2024 11:30:34.497,1040,RECV,342E39396720200D0A20202020342E393967
09-13-2024 11:30:34.559,1041,RECV,20200D0A
09-13-2024 11:30:34.622,1042,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.747,1043,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.872,1044,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.934,1045,RECV,20202020342E39396720200D0A
09-13-2024 11:30:34.997,1046,RECV,20202020342E3939672020
09-13-2024 11:30:35.059,1047,RECV,0D0A
09-13-2024 11:30:35.122,1048,RECV,2020
09-13-2024 11:30:35.184,1049,RECV,2020342E39396720200D0A20202020342E39
09-13-2024 11:30:35.246,1050,RECV,396720200D0A
09-13-2024 11:30:35.371,1051,RECV,20202020342E39396720200D0A202020
09-13-2024 11:30:35.434,1052,RECV,20342E39396720200D0A
09-13-2024 11:30:35.496,1053,RECV,20202020342E39396720200D0A
09-13-2024 11:30:35.621,1054,RECV,20202020342E39396720200D0A
09-13-2024 11:30:35.684,1055,RECV,20202020342E39396720200D0A
09-13-2024 11:30:35.809,1056,RECV,20202020342E39396720200D0A
09-13-2024 11:30:35.871,1057,RECV,2020202034
09-13-2024 11:30:35.934,1058,RECV,2E39396720200D0A
09-13-2024 11:30:35.996,1059,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.059,1060,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.184,1061,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.309,1062,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.371,1063,RECV,20202020342E39
09-13-2024 11:30:36.371,1064,RECV,39
09-13-2024 11:30:36.434,1065,RECV,6720200D0A20202020342E39396720200D
09-13-2024 11:30:36.496,1066,RECV,0A
09-13-2024 11:30:36.559,1067,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.684,1068,RECV,20202020342E39396720200D0A
09-13-2024 11:30:36.746,1069,RECV,20202020342E3939672020
09-13-2024 11:30:36.809,1070,RECV,0D0A20202020
09-13-2024 11:30:36.809,1071,RECV,34
09-13-2024 11:30:36.871,1072,RECV,2E39396720200D0A
09-13-2024 11:30:36.934,1073,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.059,1074,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.184,1075,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.246,1076,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.309,1077,RECV,20202020342E39
09-13-2024 11:30:37.371,1078,RECV,396720200D0A
09-13-2024 11:30:37.434,1079,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.496,1080,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.621,1081,RECV,2020202034
09-13-2024 11:30:37.684,1082,RECV,2E39396720200D0A
09-13-2024 11:30:37.746,1083,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.871,1084,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.934,1085,RECV,20202020342E39396720200D0A
09-13-2024 11:30:37.996,1086,RECV,20202020342E3939
09-13-2024 11:30:37.996,1087,RECV,67
09-13-2024 11:30:38.059,1088,RECV,20200D0A
09-13-2024 11:30:38.121,1089,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.184,1090,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.309,1091,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.434,1092,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.496,1093,RECV,20202020342E3939672020
09-13-2024 11:30:38.559,1094,RECV,0D0A20202020
09-13-2024 11:30:38.621,1095,RECV,342E39396720200D0A
09-13-2024 11:30:38.746,1096,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.809,1097,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.871,1098,RECV,20202020342E39396720200D0A
09-13-2024 11:30:38.996,1099,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.059,1100,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.184,1101,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.246,1102,RECV,20202020342E
09-13-2024 11:30:39.309,1103,RECV,39396720200D0A
09-13-2024 11:30:39.371,1104,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.434,1105,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.559,1106,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.684,1107,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.746,1108,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.871,1109,RECV,20202020342E39396720200D0A
09-13-2024 11:30:39.933,1110,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.058,1111,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.121,1112,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.183,1113,RECV,20202020342E39396720
09-13-2024 11:30:40.246,1114,RECV,200D0A
09-13-2024 11:30:40.308,1115,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.433,1116,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.558,1117,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.621,1118,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.683,1119,RECV,20202020342E39396720200D
09-13-2024 11:30:40.746,1120,RECV,0A
09-13-2024 11:30:40.808,1121,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.933,1122,RECV,20202020342E39396720200D0A
09-13-2024 11:30:40.996,1123,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.121,1124,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.183,1125,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.308,1126,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.371,1127,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.496,1128,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.621,1129,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.683,1130,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.808,1131,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.871,1132,RECV,20202020342E39396720200D0A
09-13-2024 11:30:41.996,1133,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.058,1134,RECV,20202020342E393967
09-13-2024 11:30:42.121,1135,RECV,20200D0A20202020342E39396720200D0A
09-13-2024 11:30:42.246,1136,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.371,1137,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.433,1139,RECV,0A
09-13-2024 11:30:42.433,1138,RECV,20202020342E39396720200D
09-13-2024 11:30:42.496,1140,RECV,20202020342E
09-13-2024 11:30:42.558,1141,RECV,39396720200D0A
09-13-2024 11:30:42.621,1142,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.746,1143,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.871,1144,RECV,20202020342E39396720200D0A
09-13-2024 11:30:42.933,1145,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.058,1146,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.121,1147,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.246,1148,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.308,1149,RECV,20202020342E39
09-13-2024 11:30:43.308,1150,RECV,39
09-13-2024 11:30:43.371,1151,RECV,6720200D0A20202020342E39396720200D
09-13-2024 11:30:43.371,1152,RECV,0A
09-13-2024 11:30:43.496,1153,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.621,1154,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.746,1155,RECV,20202020342E39396720200D0A20
09-13-2024 11:30:43.808,1156,RECV,202020342E39396720200D0A
09-13-2024 11:30:43.871,1157,RECV,20202020342E39396720200D0A
09-13-2024 11:30:43.996,1158,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.121,1159,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.183,1160,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.246,1161,RECV,202020
09-13-2024 11:30:44.308,1162,RECV,20342E39396720200D0A
09-13-2024 11:30:44.433,1163,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.495,1164,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.558,1165,RECV,20202020342E39396720200D
09-13-2024 11:30:44.620,1166,RECV,0A
09-13-2024 11:30:44.683,1167,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.745,1168,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.870,1169,RECV,20202020342E39396720200D0A
09-13-2024 11:30:44.995,1170,RECV,20202020342E39396720200D0A2020202034
09-13-2024 11:30:45.058,1171,RECV,2E39396720200D0A
09-13-2024 11:30:45.183,1172,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.245,1173,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.370,1174,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.433,1175,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.558,1176,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.620,1177,RECV,20202020342E39396720200D0A
09-13-2024 11:30:45.683,1178,RECV,20202020342E3939672020
09-13-2024 11:30:45.745,1179,RECV,0D0A
09-13-2024 11:30:45.808,1180,RECV,2020
09-13-2024 11:30:45.870,1181,RECV,2020342E39396720200D0A
09-13-2024 11:30:45.933,1182,RECV,20202020342E39396720200D0A
09-13-2024 11:30:46.058,1183,RECV,20202020342E39396720200D0A
09-13-2024 11:30:46.120,1184,RECV,20202020342E39396720200D0A
09-13-2024 11:30:46.183,1185,RECV,20202020342E
09-13-2024 11:30:46.245,1186,RECV,39396720200D0A
