09-13-2024 13:10:16.791,-,SERIAL,"COM14 - 9600/8/N/1/N"

09-13-2024 13:10:16.869,1718,RECV,20202020342E39376720200D0A
09-13-2024 13:10:16.932,1719,RECV,20202020342E39376720200D
09-13-2024 13:10:16.997,1720,RECV,0A
09-13-2024 13:10:17.056,1721,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.181,1722,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.244,1723,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.369,1724,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.431,1725,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.556,1726,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.619,1727,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.744,1728,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.806,1729,RECV,20202020342E39376720200D0A
09-13-2024 13:10:17.931,1730,RECV,20202020342E
09-13-2024 13:10:17.994,1731,RECV,39376720200D0A20202020342E3937672020
09-13-2024 13:10:18.056,1732,RECV,0D0A
09-13-2024 13:10:18.119,1733,RECV,20
09-13-2024 13:10:18.119,1734,RECV,20
09-13-2024 13:10:18.181,1735,RECV,2020342E39376720200D0A20202020342E
09-13-2024 13:10:18.181,1736,RECV,39
09-13-2024 13:10:18.244,1737,RECV,376720200D0A
09-13-2024 13:10:18.306,1738,RECV,20202020342E39376720200D0A
09-13-2024 13:10:18.431,1739,RECV,20202020342E39376720200D0A
09-13-2024 13:10:18.493,1740,RECV,20202020342E39376720200D0A
09-13-2024 13:10:18.618,1741,RECV,20202020342E39376720200D0A
09-13-2024 13:10:18.681,1742,RECV,20202020342E39
09-13-2024 13:10:18.743,1743,RECV,376720200D0A20202020342E39376720200D
09-13-2024 13:10:18.806,1744,RECV,0A
09-13-2024 13:10:18.868,1745,RECV,20202020342E39376720200D0A
09-13-2024 13:10:18.993,1746,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.056,1747,RECV,20202020342E39376720
09-13-2024 13:10:19.118,1748,RECV,200D0A202020
09-13-2024 13:10:19.118,1749,RECV,20
09-13-2024 13:10:19.181,1750,RECV,342E39376720200D0A
09-13-2024 13:10:19.306,1751,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.368,1752,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.493,1753,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.556,1754,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.618,1755,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.743,1756,RECV,20202020342E39376720200D0A
09-13-2024 13:10:19.806,1758,RECV,37
09-13-2024 13:10:19.806,1757,RECV,20202020342E39
09-13-2024 13:10:19.868,1759,RECV,6720200D0A
09-13-2024 13:10:19.993,1760,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.056,1761,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.118,1763,RECV,2E
09-13-2024 13:10:20.118,1762,RECV,2020202034
09-13-2024 13:10:20.181,1764,RECV,39376720200D0A
09-13-2024 13:10:20.243,1765,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.306,1766,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.431,1767,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.556,1768,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.618,1769,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.681,1770,RECV,20202020342E3937672020
09-13-2024 13:10:20.743,1771,RECV,0D0A
09-13-2024 13:10:20.806,1772,RECV,2020
09-13-2024 13:10:20.868,1773,RECV,2020342E39376720200D0A
09-13-2024 13:10:20.931,1774,RECV,20202020342E39376720200D0A
09-13-2024 13:10:20.993,1775,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.118,1776,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.181,1777,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.306,1778,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.368,1779,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.493,1780,RECV,20202020342E
09-13-2024 13:10:21.556,1781,RECV,39376720200D0A
09-13-2024 13:10:21.618,1782,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.681,1783,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.743,1784,RECV,20202020342E39
09-13-2024 13:10:21.806,1785,RECV,376720200D0A
09-13-2024 13:10:21.868,1786,RECV,20202020342E39376720200D0A
09-13-2024 13:10:21.931,1787,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.056,1788,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.181,1789,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.243,1790,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.306,1791,RECV,2020
09-13-2024 13:10:22.368,1792,RECV,2020342E39376720200D0A
09-13-2024 13:10:22.431,1793,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.556,1794,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.618,1795,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.743,1796,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.806,1797,RECV,20202020342E39376720200D0A
09-13-2024 13:10:22.930,1798,RECV,20202020342E393767
09-13-2024 13:10:22.993,1799,RECV,20200D0A2020
09-13-2024 13:10:22.993,1800,RECV,20
09-13-2024 13:10:23.055,1801,RECV,20342E39376720200D0A
09-13-2024 13:10:23.118,1802,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.180,1803,RECV,20202020342E393767
09-13-2024 13:10:23.243,1804,RECV,20200D0A
09-13-2024 13:10:23.305,1805,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.430,1806,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.493,1807,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.618,1808,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.680,1809,RECV,20202020342E39376720
09-13-2024 13:10:23.743,1810,RECV,200D0A
09-13-2024 13:10:23.805,1811,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.868,1812,RECV,20202020342E39376720200D0A
09-13-2024 13:10:23.993,1813,RECV,20202020342E39376720200D0A
09-13-2024 13:10:24.055,1814,RECV,20202020342E39376720200D0A
09-13-2024 13:10:24.180,1815,RECV,20202020342E39376720200D0A
