09-14-2024 11:00:17.736,-,SERIAL,"COM9 - 9600/8/N/1/N"

09-14-2024 11:00:17.751,2056,RECV,2E39396720200D0A
09-14-2024 11:00:17.877,2057,RECV,20202020312E39396720200D0A
09-14-2024 11:00:17.930,2058,RECV,20202020312E39396720200D0A
09-14-2024 11:00:17.980,2059,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.096,2060,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.211,2061,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.274,2062,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.379,2063,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.503,2064,RECV,20202020312E39396720200D0A2020
09-14-2024 11:00:18.565,2065,RECV,2020312E39396720200D0A
09-14-2024 11:00:18.628,2066,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.753,2067,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.876,2068,RECV,20202020312E39396720200D0A
09-14-2024 11:00:18.929,2069,RECV,20202020312E39396720200D0A
09-14-2024 11:00:19.045,2070,RECV,20202020312E39396720200D0A
09-14-2024 11:00:19.108,2071,RECV,2020202031
09-14-2024 11:00:19.170,2072,RECV,2E39396720200D0A20202020312E3939672020
09-14-2024 11:00:19.228,2073,RECV,0D0A
09-14-2024 11:00:19.333,2074,RECV,20202020312E39396720200D0A
09-14-2024 11:00:19.398,2075,RECV,20202020312E39396720200D0A
09-14-2024 11:00:19.464,2076,RECV,20202020312E
09-14-2024 11:00:19.515,2077,RECV,39396720200D0A20
09-14-2024 11:00:19.565,2078,RECV,202020312E39396720200D0A
09-14-2024 11:00:19.631,2079,RECV,20202020312E3939
09-14-2024 11:00:19.682,2080,RECV,6720200D0A
09-14-2024 11:00:19.798,2081,RECV,20202020312E39396720200D0A20202020312E393967
09-14-2024 11:00:19.849,2082,RECV,20200D0A
09-14-2024 11:00:19.913,2083,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.030,2084,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.083,2085,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.197,2086,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.312,2087,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.363,2088,RECV,20202020312E39396720200D0A
09-14-2024 11:00:20.466,2089,RECV,20202020312E39396720200D0A
