09-16-2024 12:00:24.182,-,SERIAL,"COM9 - 9600/8/N/1/N"

09-16-2024 12:00:24.309,410,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.365,412,RECV,0D
09-16-2024 12:00:24.365,411,RECV,20202020352E3030672020
09-16-2024 12:00:24.415,413,RECV,0A
09-16-2024 12:00:24.466,414,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.582,415,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.647,416,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.750,417,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.865,418,RECV,20202020352E30306720200D0A
09-16-2024 12:00:24.915,419,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.016,420,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.118,421,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.168,422,RECV,20202020352E3030
09-16-2024 12:00:25.233,423,RECV,6720200D0A
09-16-2024 12:00:25.299,424,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.349,425,RECV,20202020352E3030672020
09-16-2024 12:00:25.399,426,RECV,0D0A
09-16-2024 12:00:25.450,427,RECV,202020
09-16-2024 12:00:25.450,428,RECV,20
09-16-2024 12:00:25.500,429,RECV,352E30306720200D0A
09-16-2024 12:00:25.566,430,RECV,20202020352E303067
09-16-2024 12:00:25.616,431,RECV,20200D0A202020
09-16-2024 12:00:25.666,432,RECV,20352E30306720200D0A
09-16-2024 12:00:25.766,433,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.884,434,RECV,20202020352E30306720200D0A
09-16-2024 12:00:25.949,435,RECV,20202020352E30306720200D0A
09-16-2024 12:00:26.015,436,RECV,20202020352E30306720200D0A
09-16-2024 12:00:26.116,437,RECV,20202020352E3030672020
09-16-2024 12:00:26.167,438,RECV,0D0A20202020352E
09-16-2024 12:00:26.233,439,RECV,30306720200D0A
09-16-2024 12:00:26.299,440,RECV,20202020352E30306720200D0A
09-16-2024 12:00:26.400,441,RECV,20202020352E30306720200D0A
09-16-2024 12:00:26.450,442,RECV,20202020352E30306720200D0A
09-16-2024 12:00:26.550,443,RECV,20202020352E
09-16-2024 12:00:26.616,444,RECV,30306720200D0A
09-16-2024 12:00:26.666,445,RECV,20202020352E30306720200D
09-16-2024 12:00:26.717,446,RECV,0A20202020352E30
09-16-2024 12:00:26.774,447,RECV,306720200D0A
09-16-2024 12:00:26.831,448,RECV,20202020352E3030672020
09-16-2024 12:00:26.831,449,RECV,0D
09-16-2024 12:00:26.883,450,RECV,0A
09-16-2024 12:00:26.933,451,RECV,2020202035
09-16-2024 12:00:26.984,452,RECV,2E30306720200D0A
09-16-2024 12:00:27.034,453,RECV,20202020352E30306720200D0A
09-16-2024 12:00:27.100,454,RECV,20202020352E
09-16-2024 12:00:27.150,455,RECV,30306720200D0A
09-16-2024 12:00:27.251,456,RECV,20202020352E30306720200D0A
09-16-2024 12:00:27.301,457,RECV,20202020352E30306720200D0A
09-16-2024 12:00:27.418,458,RECV,20202020352E30306720200D0A
