09-20-2024 12:41:07.195,-,SERIAL,"COM12 - 9600/8/N/1/N"

09-20-2024 12:41:07.242,1865,RECV,20202020352E30316720200D0A
09-20-2024 12:41:07.367,1866,RECV,20202020352E30316720200D0A
09-20-2024 12:41:07.430,1867,RECV,20202020352E30
09-20-2024 12:41:07.430,1868,RECV,31
09-20-2024 12:41:07.492,1869,RECV,6720200D0A20
09-20-2024 12:41:07.555,1870,RECV,202020352E30316720200D0A
09-20-2024 12:41:07.680,1871,RECV,20202020352E30316720200D0A
09-20-2024 12:41:07.742,1872,RECV,20202020352E30316720200D0A
09-20-2024 12:41:07.867,1873,RECV,20202020352E30316720200D0A
09-20-2024 12:41:07.929,1874,RECV,20202020352E30316720200D
09-20-2024 12:41:07.992,1875,RECV,0A20202020352E30316720200D0A
09-20-2024 12:41:08.117,1876,RECV,20202020352E30316720200D0A
09-20-2024 12:41:08.242,1877,RECV,20202020352E30316720200D0A
09-20-2024 12:41:08.368,1878,RECV,20202020352E30316720200D0A20202020
09-20-2024 12:41:08.430,1879,RECV,352E30316720200D0A
09-20-2024 12:41:08.555,1880,RECV,20202020352E30316720200D0A
09-20-2024 12:41:08.618,1881,RECV,20202020352E30306720200D0A
09-20-2024 12:41:08.680,1882,RECV,20202020352E30306720200D
09-20-2024 12:41:08.743,1883,RECV,0A
09-20-2024 12:41:08.805,1884,RECV,20202020352E30316720200D0A
09-20-2024 12:41:08.868,1885,RECV,20202020352E30316720200D0A
09-20-2024 12:41:08.993,1886,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.118,1887,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.180,1888,RECV,20202020352E30316720200D
09-20-2024 12:41:09.243,1889,RECV,0A20202020352E30316720200D0A
09-20-2024 12:41:09.368,1890,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.493,1891,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.618,1892,RECV,20202020352E30316720200D0A202020
09-20-2024 12:41:09.680,1893,RECV,20352E30316720200D0A
09-20-2024 12:41:09.743,1894,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.867,1895,RECV,20202020352E30316720200D0A
09-20-2024 12:41:09.930,1896,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.055,1897,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.117,1899,RECV,20
09-20-2024 12:41:10.117,1898,RECV,2020
09-20-2024 12:41:10.180,1900,RECV,20352E30316720200D0A
09-20-2024 12:41:10.242,1901,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.305,1902,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.430,1903,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.555,1904,RECV,20202020352E30316720200D0A
09-20-2024 12:41:10.617,1905,RECV,2020
