09-20-2024 14:20:22.704,-,SERIAL,"COM12 - 9600/8/N/1/N"

09-20-2024 14:20:22.767,1387,RECV,20202020352E30316720200D0A
09-20-2024 14:20:22.892,1388,RECV,20202020352E30316720200D0A
09-20-2024 14:20:22.954,1389,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.079,1390,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.142,1391,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.204,1392,RECV,20202020352E30
09-20-2024 14:20:23.267,1393,RECV,316720200D0A
09-20-2024 14:20:23.392,1394,RECV,20202020352E30316720200D0A2020
09-20-2024 14:20:23.454,1395,RECV,2020352E30316720200D0A
09-20-2024 14:20:23.517,1396,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.642,1397,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.704,1398,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.829,1399,RECV,20202020352E30316720200D0A
09-20-2024 14:20:23.892,1400,RECV,2020
09-20-2024 14:20:23.954,1401,RECV,2020352E30316720200D0A
09-20-2024 14:20:24.017,1402,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.142,1403,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.204,1404,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.329,1405,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.392,1406,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.454,1407,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.579,1408,RECV,2020202035
09-20-2024 14:20:24.642,1409,RECV,2E30316720200D0A
09-20-2024 14:20:24.704,1410,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.829,1411,RECV,20202020352E30316720200D0A
09-20-2024 14:20:24.892,1412,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.017,1413,RECV,20202020352E30316720200D0A20
09-20-2024 14:20:25.079,1414,RECV,202020352E30316720200D0A
09-20-2024 14:20:25.142,1415,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.267,1416,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.392,1417,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.454,1418,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.517,1419,RECV,20202020
09-20-2024 14:20:25.579,1420,RECV,352E30316720200D0A
09-20-2024 14:20:25.642,1421,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.704,1422,RECV,20202020352E30316720200D0A
09-20-2024 14:20:25.829,1423,RECV,20202020352E30316720
09-20-2024 14:20:25.892,1424,RECV,200D0A202020
09-20-2024 14:20:25.954,1425,RECV,20352E30316720200D0A
09-20-2024 14:20:26.079,1426,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.142,1427,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.204,1428,RECV,20202020352E30316720200D
09-20-2024 14:20:26.266,1429,RECV,0A2020202035
09-20-2024 14:20:26.329,1430,RECV,2E30316720200D0A
09-20-2024 14:20:26.454,1431,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.516,1432,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.641,1433,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.704,1434,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.766,1435,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.891,1436,RECV,20202020352E30316720200D0A
09-20-2024 14:20:26.954,1437,RECV,20202020352E3031
09-20-2024 14:20:26.954,1438,RECV,67
09-20-2024 14:20:27.016,1439,RECV,20200D0A
09-20-2024 14:20:27.141,1440,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.204,1441,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.266,1442,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.391,1443,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.454,1444,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.579,1445,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.641,1446,RECV,20202020352E30316720200D
09-20-2024 14:20:27.641,1447,RECV,0A
09-20-2024 14:20:27.766,1448,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.829,1449,RECV,20202020352E30316720200D0A
09-20-2024 14:20:27.954,1450,RECV,20202020352E303167
09-20-2024 14:20:28.016,1451,RECV,20200D0A202020
09-20-2024 14:20:28.079,1452,RECV,20352E30316720200D0A
09-20-2024 14:20:28.141,1453,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.266,1454,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.329,1455,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.454,1456,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.517,1457,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.579,1458,RECV,20202020352E30316720200D0A
09-20-2024 14:20:28.704,1459,RECV,20202020352E30
09-20-2024 14:20:28.767,1460,RECV,316720200D0A
09-20-2024 14:20:28.767,1461,RECV,20
09-20-2024 14:20:28.829,1462,RECV,202020352E30316720200D0A
09-20-2024 14:20:28.892,1463,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.017,1464,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.079,1465,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.204,1466,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.267,1467,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.392,1468,RECV,20202020352E
09-20-2024 14:20:29.454,1469,RECV,30316720200D0A20202020352E3031672020
09-20-2024 14:20:29.517,1470,RECV,0D0A
09-20-2024 14:20:29.579,1471,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.704,1472,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.767,1473,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.891,1474,RECV,20202020352E30316720200D0A
09-20-2024 14:20:29.954,1476,RECV,0D
09-20-2024 14:20:29.954,1475,RECV,20202020352E3031672020
09-20-2024 14:20:30.016,1477,RECV,0A
09-20-2024 14:20:30.079,1478,RECV,20202020352E30316720200D0A
09-20-2024 14:20:30.141,1479,RECV,20202020352E30316720200D0A
09-20-2024 14:20:30.266,1480,RECV,20202020352E30316720200D0A
09-20-2024 14:20:30.391,1481,RECV,20202020352E30316720200D0A
